1,SRR2145289_contig1065,Peternellavirus|Winogradskyella|1
2,SRR2145289_contig1700,Caudoviricetes|Celeribacter_ethanolicus
3,SRR2145291_contig24123,Caudoviricetes|1
4,SRR2145291_contig27130,Caudoviricetes|2
5,SRR2145293_contig3953,Caudoviricetes|Bacteroides_sp_AM16-15|1
6,SRR2145293_contig54276,Kenyattavirus
7,SRR2145294_contig26094,Caudoviricetes|Streptomyces_sp_st77|1
8,SRR2145296_contig13479,Caudoviricetes|3
9,SRR2145297_contig10905,Caudoviricetes|4
10,SRR2145297_contig58281,Suoliviridae|1
11,SRR2145298_contig82713,Eponavirus|Faecalibacterium_prausnitzii
12,SRR2145299_contig33552,Labanvirus|Flavobacterium_sp_LMO6|1
13,SRR2145299_contig52153,Caudoviricetes|5
14,SRR2145301_contig27252,Carjivirus|1
15,SRR2145301_contig45851,Caudoviricetes|Prevotella_stercorea
16,SRR2145301_contig97108,Caudoviricetes|6
17,SRR2145306_contig9670,Caudoviricetes|7
18,SRR2145306_contig30845,Sinsheimervirus|Escherichia
19,SRR2145307_contig43255,Caudoviricetes|8
20,SRR2145311_contig267,Lughvirus|Faecalibacterium_prausnitzii
21,SRR2145312_contig1940,Caudoviricetes|9
22,SRR2145312_contig20428,Caudoviricetes|10
23,SRR2145322_contig45560,Caudoviricetes|11
24,SRR2145326_contig18930,Caudoviricetes|12
25,SRR2145327_contig6185,Caudoviricetes|13
26,SRR2145339_contig22475,Caudoviricetes|Bacteroides_sp_A1C1
27,SRR2145339_contig23701,Mushuvirus|Faecalibacterium_prausnitzii|1
28,SRR2145339_contig26500,Caudoviricetes|Streptomyces_sp_st77|2
29,SRR2145339_contig49334,Caudoviricetes|14
30,SRR2145341_contig34124,Freyavirus|Polaribacter
31,SRR2145342_contig4286,Xuanwuvirus|Escherichia_coli
32,SRR2145342_contig33173,Caudoviricetes|Bacteroides_dorei|1
33,SRR2145343_contig67007,Caudoviricetes|15
34,SRR2145347_contig874,Autographiviridae
35,SRR2145347_contig48619,Caudoviricetes|16
36,SRR2145347_contig59490,Caudoviricetes|Bacteroides_vulgatus|1
37,SRR2145357_contig2078,Caudoviricetes|17
38,SRR2145360_contig62483,Peternellavirus|Winogradskyella|2
39,SRR2145360_contig66226,Cbastvirus
40,SRR2145361_contig5457,Caudoviricetes|Bacteroides_salyersiae|1
41,SRR2145361_contig13180,Caudoviricetes|Bacteroides_sp_3_1_40A|1
42,SRR2145363_contig77844,Caudoviricetes|Bacteroides_caccae|1
43,SRR2145364_contig112779,Buhlduvirus|Alistipes_sp_AF14-19
44,SRR2145365_contig14299,Carjivirus|2
45,SRR2145365_contig32957,Caudoviricetes|Bacteroides_fragilis|1
46,SRR2145365_contig45150,Caudoviricetes|18
47,SRR2145365_contig74254,Labanvirus|Flavobacterium_sp_LMO6|2
48,SRR2145367_contig76108,Caudoviricetes|19
49,SRR2145370_contig31147,Caudoviricetes|20
50,SRR2145371_contig68676,Caudoviricetes|21
51,SRR2145373_contig13406,Arawnvirus|Butyrivibrio_fibrisolvens|1
52,SRR2145373_contig36031,Mushuvirus|Faecalibacterium_prausnitzii|2
53,SRR2145373_contig66252,Caudoviricetes|22
54,SRR2145375_contig11449,Moineauvirus|Streptococcus_thermophilus|1
55,SRR2145376_contig18431,Caudoviricetes|Bacteroides_dorei|2
56,SRR2145378_contig21838,Suoliviridae|2
57,SRR2145378_contig52615,Caudoviricetes|23
58,SRR2145379_contig48548,Caudoviricetes|24
59,SRR2145380_contig10443,Pachyviridae|Bacteroides_caccae
60,SRR2145380_contig28907,Feofaniavirus|1
61,SRR2145384_contig39283,Leefvirus|1
62,SRR2145387_contig42974,Caudoviricetes|Ruminococcus_sp_TF11-2AC
63,SRR2145387_contig50508,Straboviridae|1
64,SRR2145387_contig59636,Caudoviricetes|Parabacteroides_merdae|1
65,SRR2145389_contig5789,Boorivirinae|Parabacteroides_merdae
66,SRR2145389_contig6481,Ingelinevirus|1
67,SRR2145398_contig23791,Caudoviricetes|25
68,SRR2145399_contig33705,Caudoviricetes|26
69,SRR2145404_contig1841,Rockefellervirus|Staphylococcus_epidermidis|1
70,SRR2145404_contig15482,Caudoviricetes|27
71,SRR2145405_contig29310,Straboviridae|2
72,SRR2145405_contig29577,Peduovirus|Salmonella
73,SRR2145408_contig14502,Kostyavirus|Mycolicibacterium|1
74,SRR2145409_contig3756,Kostyavirus|Mycolicibacterium|2
75,SRR2145410_contig50458,Rockefellervirus|Staphylococcus_epidermidis|2
76,SRR2145423_contig1652,Caudoviricetes|28
77,SRR2145434_contig66579,Caudoviricetes|29
78,SRR2145435_contig40801,Caudoviricetes|30
79,SRR2145438_contig43811,Caudoviricetes|Lachnospiraceae_bacterium
80,SRR2145449_contig5810,Caudoviricetes|31
81,SRR2145449_contig42786,Caudoviricetes|Bacteroides_dorei|3
82,SRR2145450_contig25631,Caudoviricetes|32
83,SRR2145451_contig4095,Peternellavirus|Winogradskyella|3
84,SRR2145451_contig12194,Arawnvirus|Butyrivibrio_fibrisolvens|2
85,SRR2145452_contig23384,Caudoviricetes|33
86,SRR2145453_contig8481,Peternellavirus|Winogradskyella|4
87,SRR2145453_contig32619,Caudoviricetes|34
88,SRR2145453_contig60048,Suoliviridae|Bacteroides_dorei
89,SRR2145456_contig33340,Caudoviricetes|Bacteroides_sp_3_1_40A|2
90,SRR2145459_contig4132,Kolpuevirus|Bacteroides_vulgatus
91,SRR2145459_contig16497,Carjivirus|3
92,SRR2145466_contig23256,Carjivirus|4
93,SRR2145475_contig100652,Caudoviricetes|35
94,SRR2145489_contig50063,Lagaffevirus|Faecalibacterium_prausnitzii|1
95,SRR2145491_contig10976,Caudoviricetes|36
96,SRR2145491_contig20651,Moineauvirus|Streptococcus_thermophilus|2
97,SRR2145491_contig34281,Carjivirus|5
98,SRR2145499_contig30320,Carjivirus|6
99,SRR2145503_contig46204,Caudoviricetes|37
100,SRR2145503_contig52430,Ahduovirus|Burkholderia_ambifaria
101,SRR2145512_contig3712,Caudoviricetes|38
102,SRR2145512_contig11517,Caudoviricetes|39
103,SRR2145512_contig49282,Caudoviricetes|Bacteroides_sp_AM16-15|2
104,SRR2145512_contig64874,Caeruleovirus
105,SRR2145514_contig2385,Buhlduvirus|Bacteroides_vulgatus
106,SRR2145523_contig31789,Caudoviricetes|40
107,SRR2145531_contig42747,Caudoviricetes|41
108,SRR2145532_contig24739,Ingelinevirus|2
109,SRR2145533_contig9691,Caudoviricetes|42
110,SRR2145533_contig56825,Caudoviricetes|Firmicutes_bacterium_AF22-6AC
111,SRR2145536_contig5397,Caudoviricetes|43
112,SRR2145541_contig23758,Caudoviricetes|44
113,SRR2145541_contig31180,Caudoviricetes|Bacteroides_fragilis|2
114,SRR2145555_contig6895,Caudoviricetes|45
115,SRR2145556_contig10997,Caudoviricetes|Bacteroides_massiliensis|1
116,SRR2145557_contig11838,Caudoviricetes|Bacteroides_massiliensis|2
117,SRR2145558_contig18891,Caudoviricetes|46
118,SRR2145563_contig6004,Unahavirus|Flavobacterium_psychrophilum
119,SRR2145566_contig28921,Caudoviricetes|Bacteroides_vulgatus|2
120,SRR2145566_contig29998,Duneviridae
121,SRR2145567_contig19379,Dagavirus|Klebsiella_pneumoniae
122,SRR2145569_contig8000,Caudoviricetes|Bacteroides_thetaiotaomicron
123,SRR2145570_contig12670,Caudoviricetes|47
124,SRR2145585_contig8161,Caudoviricetes|Bacteroides_vulgatus|3
125,SRR2145585_contig35943,Feofaniavirus|2
126,SRR2145586_contig48377,Caudoviricetes|48
127,SRR2145594_contig2556,Caudoviricetes|Parabacteroides_merdae|2
128,SRR2145594_contig8872,Caudoviricetes|49
129,SRR2145594_contig19115,Caudoviricetes|Parabacteroides_merdae|3
130,SRR2145597_contig3195,Stormageddonvirus|Gordonia_terrae
131,SRR2145599_contig20705,Caudoviricetes|50
132,SRR2145600_contig48456,Caudoviricetes|Bacteroides_vulgatus|4
133,SRR2145617_contig26013,Caudoviricetes|51
134,SRR2145619_contig2256,Pachyviridae
135,SRR2145628_contig7004,Caudoviricetes|52
136,SRR2145634_contig30248,Carjivirus|7
137,SRR2145641_contig40173,Caudoviricetes|Erysipelotrichaceae_bacterium
138,SRR2145642_contig1084,Pagevirus
139,SRR2145642_contig12463,Leefvirus|2
140,SRR2145649_contig21224,Caudoviricetes|53
141,SRR2145653_contig48982,Caudoviricetes|Bacteroides_massiliensis|3
142,SRR2145656_contig47919,Brigitvirus|Faecalibacterium_prausnitzii
143,SRR2145290_contig69557_1,Caudoviricetes|Bacteroides_salyersiae|2
144,SRR2145292_contig11980_1,Caudoviricetes|Parabacteroides_distasonis|1
145,SRR2145292_contig54746_1,Caudoviricetes|Prevotella_buccalis|1
146,SRR2145294_contig1045_1,Caudoviricetes|54
147,SRR2145294_contig52185_1,Phietavirus|Staphylococcus_aureus
148,SRR2145295_contig71953_1,Caudoviricetes|Bacteroides_fragilis|3
149,SRR2145296_contig18113_1,Caudoviricetes|Bacteroides_sp_AM16-15|3
150,SRR2145298_contig45803_1,Caudoviricetes|55
151,SRR2145301_contig71766_1,Caudoviricetes|56
152,SRR2145302_contig47297_1,Caudoviricetes|57
153,SRR2145312_contig9068_1,Caudoviricetes|58
154,SRR2145326_contig53538_1,Caudoviricetes|59
155,SRR2145328_contig34572_1,Peternellavirus|Winogradskyella|5
156,SRR2145339_contig6300_1,Caudoviricetes|60
157,SRR2145341_contig19061_1,Peternellavirus|Winogradskyella|6
158,SRR2145343_contig6562_1,Peternellavirus|Winogradskyella|7
159,SRR2145343_contig42114_1,Caudoviricetes|61
160,SRR2145343_contig77302_1,Caudoviricetes|62
161,SRR2145347_contig46787_1,Caudoviricetes|63
162,SRR2145351_contig27368_1,Caudoviricetes|64
163,SRR2145355_contig18793_1,Peternellavirus|Winogradskyella|8
164,SRR2145355_contig21109_1,Caudoviricetes|Bacteroides_sp_3_1_40A|3
165,SRR2145355_contig26009_1,Casadabanvirus|Pseudomonas_aeruginosa
166,SRR2145362_contig43091_1,Caudoviricetes|Bacteroides_sp_3_1_40A|4
167,SRR2145365_contig12582_1,Carjivirus|8
168,SRR2145365_contig33711_1,Carjivirus|9
169,SRR2145374_contig12251_1,Caudoviricetes|65
170,SRR2145375_contig27352_1,Caudoviricetes|Bacteroides_sp_3_1_40A|5
171,SRR2145377_contig47982_1,Caudoviricetes|Prevotella_buccalis|2
172,SRR2145378_contig62079_1,Caudoviricetes|Bacteroides_fragilis|4
173,SRR2145384_contig95415_1,Caudoviricetes|Alistipes_sp_AF14-19
174,SRR2145385_contig49729_1,Peternellavirus|Winogradskyella|9
175,SRR2145387_contig27624_1,Caudoviricetes|66
176,SRR2145388_contig37242_1,Caudoviricetes|67
177,SRR2145394_contig44766_1,Caudoviricetes|68
178,SRR2145399_contig35284_1,Caudoviricetes|69
179,SRR2145404_contig14651_1,Caudoviricetes|70
180,SRR2145408_contig67002_1,Caudoviricetes|Parabacteroides_distasonis|2
181,SRR2145410_contig10839_1,Winoviridae|1
182,SRR2145445_contig20836_1,Caudoviricetes|71
183,SRR2145445_contig47182_1,Caudoviricetes|Prevotella_maculosa
184,SRR2145446_contig43729_1,Caudoviricetes|Bacteroides_sp_3_1_40A|6
185,SRR2145455_contig13530_1,Caudoviricetes|72
186,SRR2145463_contig24599_1,Caudoviricetes|Bacteroides_faecis
187,SRR2145466_contig8074_1,Caudoviricetes|Bacteroides_sp_3_1_40A|7
188,SRR2145476_contig29503_1,Caudoviricetes|73
189,SRR2145476_contig55425_1,Caudoviricetes|Bacteroides_caccae|2
190,SRR2145477_contig54496_1,Caudoviricetes|Phocaeicola_abscessus
191,SRR2145481_contig27707_1,Duneviridae|Acinetobacter_sp_CIP_102143
192,SRR2145494_contig26231_1,Caudoviricetes|Bacteroides_sp_3_1_40A|8
193,SRR2145503_contig74191_1,Caudoviricetes|74
194,SRR2145514_contig45123_1,Caudoviricetes|Parabacteroides_distasonis|3
195,SRR2145531_contig28075_1,Caudoviricetes|Bacteroides_sp_3_1_40A|9
196,SRR2145542_contig6926_1,Caudoviricetes|75
197,SRR2145579_contig6749_1,Peternellavirus|Winogradskyella|10
198,SRR2145615_contig21268_1,Lagaffevirus|Faecalibacterium_prausnitzii|2
199,SRR2145619_contig16726_1,Caudoviricetes|76
200,SRR2145621_contig6480_1,Caudoviricetes|Parabacteroides_merdae|4
201,SRR2145622_contig31378_1,Winoviridae|2
202,SRR2145649_contig4259_1,Caudoviricetes|Prevotella_buccalis|3
203,SRR2145653_contig32568_1,Caudoviricetes|Parabacteroides_distasonis|4
204,SRR2145656_contig65131_1,Caudoviricetes|77
205,SRR2145656_contig67385_1,Caudoviricetes|Bacteroides_salyersiae|3
